Date,Close,SMA
2000-01-03,29.53125,None
2000-01-04,26.921875,None
2000-01-05,25.5,None
2000-01-06,24.0,None
2000-01-07,25.84375,26.359375
2000-01-10,28.9375,26.240625
2000-01-11,28.09375,26.475
2000-01-12,26.40625,26.65625
2000-01-13,26.265625,27.109375
2000-01-14,26.703125,27.28125
2000-01-18,27.8125,27.05625
2000-01-19,28.5625,27.15
2000-01-20,29.625,27.79375
2000-01-21,29.84375,28.509375
2000-01-24,27.09375,28.5875
2000-01-25,28.21875,28.66875
2000-01-26,27.53125,28.4625
2000-01-27,25.90625,27.71875
2000-01-28,23.6875,26.4875
2000-01-31,24.9765625,26.0640625
2000-02-01,27.0,25.8203125
2000-02-02,27.15625,25.7453125
2000-02-03,28.34375,26.2328125
2000-02-04,28.90625,27.2765625
2000-02-07,29.96875,28.275
2000-02-08,29.78125,28.83125
2000-02-09,29.96875,29.39375
2000-02-10,31.15625,29.95625
2000-02-11,29.84375,30.14375
2000-02-14,31.09375,30.36875
2000-02-15,30.6875,30.55
2000-02-16,30.625,30.68125
2000-02-17,30.8125,30.6125
2000-02-18,29.28125,30.5
2000-02-22,29.65625,30.2125
2000-02-23,31.53125,30.38125
2000-02-24,30.96875,30.45
2000-02-25,35.3125,31.35
2000-02-28,34.3125,32.35625
2000-02-29,37.125,33.85
2000-03-01,35.75,34.69375
2000-03-02,34.25,35.35
2000-03-03,37.5,35.7875
2000-03-06,37.875,36.5
2000-03-07,37.46875,36.56875
2000-03-08,41.5625,37.73125
2000-03-09,42.0,39.28125
2000-03-10,40.8125,39.94375
2000-03-13,39.375,40.24375
2000-03-14,38.5,40.45
2000-03-15,39.3125,40.0
2000-03-16,40.96875,39.79375
2000-03-17,39.90625,39.6125
2000-03-20,39.0625,39.55
2000-03-21,40.34375,39.91875
2000-03-22,42.03125,40.4625
2000-03-23,43.4375,40.95625
2000-03-24,43.5,41.675
2000-03-27,44.21875,42.70625
2000-03-28,43.28125,43.29375
2000-03-29,41.25,43.1375
2000-03-30,39.21875,42.29375
2000-03-31,39.03125,41.4
2000-04-03,38.4375,40.24375
2000-04-04,37.96875,39.18125
2000-04-05,39.125,38.75625
2000-04-06,41.09375,39.13125
2000-04-07,43.5625,40.0375
2000-04-10,41.25,40.6
2000-04-11,38.6875,40.74375
2000-04-12,36.5625,40.23125
2000-04-13,35.96875,39.20625
2000-04-14,31.25,36.74375
2000-04-17,37.40625,35.975
2000-04-18,39.46875,36.13125
2000-04-19,37.28125,36.275
2000-04-20,35.40625,36.1625
2000-04-24,36.21875,37.15625
2000-04-25,37.78125,37.23125
2000-04-26,36.09375,36.55625
2000-04-27,38.65625,36.83125
2000-04-28,39.96875,37.74375
2000-05-01,39.84375,38.46875
2000-05-02,38.90625,38.69375
2000-05-03,37.90625,39.05625
2000-05-04,37.125,38.75
2000-05-05,38.40625,38.4375
2000-05-08,36.15625,37.7
2000-05-09,36.0,37.11875
2000-05-10,33.8125,36.3
2000-05-11,36.1875,36.1125
2000-05-12,37.09375,35.85
2000-05-15,38.5,36.31875
2000-05-16,39.59375,37.0375
2000-05-17,39.09375,38.09375
2000-05-18,36.53125,38.1625
2000-05-19,35.03125,37.75
2000-05-22,33.90625,36.83125
2000-05-23,31.3125,35.175
2000-05-24,32.125,33.78125
2000-05-25,33.21875,33.11875
2000-05-26,33.5,32.8125
2000-05-30,37.09375,33.45
2000-05-31,35.9375,34.375
2000-06-01,38.9375,35.7375
2000-06-02,40.09375,37.1125
2000-06-05,40.46875,38.50625
2000-06-06,38.53125,38.79375
2000-06-07,40.0,39.60625
2000-06-08,41.1875,40.05625
2000-06-09,41.34375,40.30625
2000-06-12,40.28125,40.26875
2000-06-13,40.84375,40.73125
2000-06-14,39.5,40.63125
2000-06-15,41.25,40.64375
2000-06-16,40.9375,40.5625
2000-06-19,43.0,41.10625
2000-06-20,43.0234375,41.5421875
2000-06-21,43.09375,42.2609375
2000-06-22,40.75,42.1609375
2000-06-23,39.75,41.9234375
2000-06-26,41.34375,41.5921875
2000-06-27,41.125,41.2125
2000-06-28,41.46875,40.8875
2000-06-29,40.4375,40.825
2000-06-30,42.03125,41.28125
2000-07-03,40.09375,41.03125
2000-07-05,36.15625,40.0375
2000-07-06,37.8125,39.30625
2000-07-07,37.9375,38.80625
2000-07-10,37.0625,37.8125
2000-07-11,36.15625,37.025
2000-07-12,37.34375,37.2625
2000-07-13,37.875,37.275
2000-07-14,38.0625,37.3
2000-07-17,38.0625,37.5
2000-07-18,37.09375,37.6875
2000-07-19,36.875,37.59375
2000-07-20,39.0625,37.83125
2000-07-21,37.71875,37.7625
2000-07-24,37.5,37.65
2000-07-25,38.0,37.83125
2000-07-26,38.375,38.13125
2000-07-27,37.53125,37.825
2000-07-28,36.1875,37.51875
2000-07-31,37.59375,37.5375
2000-08-01,36.5625,37.25
2000-08-02,36.5625,36.8875
2000-08-03,38.71875,37.125
2000-08-04,40.78125,38.04375
2000-08-07,40.9375,38.7125
2000-08-08,41.5,39.7
2000-08-09,40.6875,40.525
2000-08-10,40.03125,40.7875
2000-08-11,40.5625,40.74375
2000-08-14,41.1875,40.79375
2000-08-15,40.625,40.61875
2000-08-16,40.59375,40.6
2000-08-17,41.96875,40.9875
2000-08-18,40.65625,41.00625
2000-08-21,41.59375,41.0875
2000-08-22,41.78125,41.31875
2000-08-23,41.4375,41.4875
2000-08-24,42.34375,41.5625
2000-08-25,42.3125,41.89375
2000-08-28,43.375,42.25
2000-08-29,43.875,42.66875
2000-08-30,44.125,43.20625
2000-08-31,45.46875,43.83125
2000-09-01,46.3125,44.63125
2000-09-05,45.53125,45.0625
2000-09-06,44.625,45.2125
2000-09-07,45.59375,45.50625
2000-09-08,43.28125,45.06875
2000-09-11,41.71875,44.15
2000-09-12,39.6875,42.98125
2000-09-13,40.90625,42.2375
2000-09-14,42.46875,41.6125
2000-09-15,39.15625,40.7875
2000-09-18,38.234375,40.090625
2000-09-19,39.65625,40.084375
2000-09-20,39.96875,39.896875
2000-09-21,39.46875,39.296875
2000-09-22,40.3671875,39.5390625
2000-09-25,39.375,39.7671875
2000-09-26,39.71875,39.7796875
2000-09-27,39.9375,39.7734375
2000-09-28,40.7421875,40.028125
2000-09-29,39.375,39.8296875
2000-10-02,39.375,39.8296875
2000-10-03,34.75,38.8359375
2000-10-04,34.0625,37.6609375
2000-10-05,34.15625,36.34375
2000-10-06,33.8125,35.23125
2000-10-09,33.375,34.03125
2000-10-10,32.3125,33.54375
2000-10-11,31.125,32.95625
2000-10-12,31.5,32.425
2000-10-13,35.625,32.7875
2000-10-16,34.5625,33.025
2000-10-17,33.6875,33.3
2000-10-18,33.5625,33.7875
